TypeAchat,Sexe,ClasseAge,Formation,Annee,NbrPersonnes
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,15-29,Niveau tertiaire (25+),2017,NA
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,15-29,-25ans,2017,NA
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,30-59,Total,2017,238466
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,30-59,Sans formation post-obligatoire (25+),2017,NA
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,30-59,Niveau secondaire (25+),2017,121384
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,30-59,Niveau tertiaire (25+),2017,95412
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,30-59,-25ans,2017,NA
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,60+,Total,2017,NA
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,60+,Niveau secondaire (25+),2017,NA
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,60+,Niveau tertiaire (25+),2017,NA
"Achat hardware, peripheriques, etc. (au cours des 12 derniers mois)",Femme,60+,-25ans,2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,Total,Total,2017,1440131
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,Total,Sans formation post-obligatoire (25+),2017,96209
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,Total,Niveau secondaire (25+),2017,466621
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,Total,Niveau tertiaire (25+),2017,645516
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,Total,-25ans,2017,231785
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,15-29,Total,2017,363488
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,15-29,Niveau secondaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,15-29,Niveau tertiaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,15-29,-25ans,2017,231785
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,30-59,Total,2017,902494
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,30-59,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,30-59,Niveau secondaire (25+),2017,347689
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,30-59,Niveau tertiaire (25+),2017,490650
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,30-59,-25ans,2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,60+,Total,2017,174149
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,60+,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,60+,Niveau secondaire (25+),2017,73806
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,60+,Niveau tertiaire (25+),2017,73041
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Total,60+,-25ans,2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,Total,Total,2017,893841
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,Total,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,Total,Niveau secondaire (25+),2017,227571
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,Total,Niveau tertiaire (25+),2017,459496
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,Total,-25ans,2017,142313
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,15-29,Total,2017,206874
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,15-29,Niveau secondaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,15-29,Niveau tertiaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,15-29,-25ans,2017,142313
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,30-59,Total,2017,571266
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,30-59,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,30-59,Niveau secondaire (25+),2017,173371
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,30-59,Niveau tertiaire (25+),2017,345271
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,30-59,-25ans,2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,60+,Total,2017,115702
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,60+,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,60+,Niveau secondaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,60+,Niveau tertiaire (25+),2017,68686
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Homme,60+,-25ans,2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,Total,Total,2017,546290
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,Total,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,Total,Niveau secondaire (25+),2017,239050
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,Total,Niveau tertiaire (25+),2017,186020
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,Total,-25ans,2017,89471
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,15-29,Total,2017,156614
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,15-29,Niveau secondaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,15-29,Niveau tertiaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,15-29,-25ans,2017,89471
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,30-59,Total,2017,331228
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,30-59,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,30-59,Niveau secondaire (25+),2017,174319
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,30-59,Niveau tertiaire (25+),2017,145379
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,30-59,-25ans,2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,60+,Total,2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,60+,Sans formation post-obligatoire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,60+,Niveau secondaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,60+,Niveau tertiaire (25+),2017,NA
Achat equipements electroniques et audiovisuels (au cours des 12 derniers mois),Femme,60+,-25ans,2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,Total,Total,2017,3128813
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,Total,Sans formation post-obligatoire (25+),2017,205651
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,Total,Niveau secondaire (25+),2017,1174472
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,Total,Niveau tertiaire (25+),2017,1352978
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,Total,-25ans,2017,395713
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,15-29,Total,2017,705800
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,15-29,Niveau secondaire (25+),2017,125024
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,15-29,Niveau tertiaire (25+),2017,167845
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,15-29,-25ans,2017,395713
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,30-59,Total,2017,1979301
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,30-59,Sans formation post-obligatoire (25+),2017,128148
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,30-59,Niveau secondaire (25+),2017,833189
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,30-59,Niveau tertiaire (25+),2017,1017965
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,30-59,-25ans,2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,60+,Total,2017,443713
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,60+,Niveau secondaire (25+),2017,216259
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,60+,Niveau tertiaire (25+),2017,167168
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Total,60+,-25ans,2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,Total,Total,2017,1594630
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,Total,Sans formation post-obligatoire (25+),2017,96695
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,Total,Niveau secondaire (25+),2017,533437
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,Total,Niveau tertiaire (25+),2017,779834
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,Total,-25ans,2017,184664
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,15-29,Total,2017,311186
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,15-29,Niveau secondaire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,15-29,Niveau tertiaire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,15-29,-25ans,2017,184664
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,30-59,Total,2017,1041685
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,30-59,Sans formation post-obligatoire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,30-59,Niveau secondaire (25+),2017,378577
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,30-59,Niveau tertiaire (25+),2017,595179
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,30-59,-25ans,2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,60+,Total,2017,241758
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,60+,Niveau secondaire (25+),2017,103873
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,60+,Niveau tertiaire (25+),2017,113872
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Homme,60+,-25ans,2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,Total,Total,2017,1534184
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,Total,Sans formation post-obligatoire (25+),2017,108956
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,Total,Niveau secondaire (25+),2017,641035
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,Total,Niveau tertiaire (25+),2017,573144
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,Total,-25ans,2017,211049
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,15-29,Total,2017,394613
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,15-29,Niveau secondaire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,15-29,Niveau tertiaire (25+),2017,97062
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,15-29,-25ans,2017,211049
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,30-59,Total,2017,937616
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,30-59,Sans formation post-obligatoire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,30-59,Niveau secondaire (25+),2017,454611
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,30-59,Niveau tertiaire (25+),2017,422786
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,30-59,-25ans,2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,60+,Total,2017,201955
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,60+,Niveau secondaire (25+),2017,112386
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,60+,Niveau tertiaire (25+),2017,NA
"Achat sejours hotels, logements de vacances (au cours des 12 derniers mois)",Femme,60+,-25ans,2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,Total,Total,2017,2032998
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,Total,Sans formation post-obligatoire (25+),2017,155550
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,Total,Niveau secondaire (25+),2017,673839
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,Total,Niveau tertiaire (25+),2017,846163
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,Total,-25ans,2017,357447
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,15-29,Total,2017,580681
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,15-29,Niveau secondaire (25+),2017,88869
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,15-29,Niveau tertiaire (25+),2017,114694
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,15-29,-25ans,2017,357447
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,30-59,Total,2017,1237041
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,30-59,Sans formation post-obligatoire (25+),2017,107066
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,30-59,Niveau secondaire (25+),2017,493764
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,30-59,Niveau tertiaire (25+),2017,636211
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,30-59,-25ans,2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,60+,Total,2017,215277
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,60+,Niveau secondaire (25+),2017,91206
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,60+,Niveau tertiaire (25+),2017,95257
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Total,60+,-25ans,2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,Total,Total,2017,1293423
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,Total,Sans formation post-obligatoire (25+),2017,98904
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,Total,Niveau secondaire (25+),2017,368899
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,Total,Niveau tertiaire (25+),2017,573551
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,Total,-25ans,2017,252069
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,15-29,Total,2017,396167
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,15-29,Niveau secondaire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,15-29,Niveau tertiaire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,15-29,-25ans,2017,252069
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,30-59,Total,2017,758664
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,30-59,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,30-59,Niveau secondaire (25+),2017,257572
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,30-59,Niveau tertiaire (25+),2017,433146
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,30-59,-25ans,2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,60+,Total,2017,138593
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,60+,Niveau secondaire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,60+,Niveau tertiaire (25+),2017,78358
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Homme,60+,-25ans,2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,Total,Total,2017,739575
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,Total,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,Total,Niveau secondaire (25+),2017,304941
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,Total,Niveau tertiaire (25+),2017,272611
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,Total,-25ans,2017,105378
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,15-29,Total,2017,184515
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,15-29,Niveau secondaire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,15-29,Niveau tertiaire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,15-29,-25ans,2017,105378
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,30-59,Total,2017,478377
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,30-59,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,30-59,Niveau secondaire (25+),2017,236192
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,30-59,Niveau tertiaire (25+),2017,203065
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,30-59,-25ans,2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,60+,Total,2017,76684
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,60+,Niveau secondaire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,60+,Niveau tertiaire (25+),2017,NA
"Achat logiciels, mises a jour ordinateur ou jeux video (au cours des 12 derniers mois)",Femme,60+,-25ans,2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,Total,Total,2017,3323006
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,Total,Sans formation post-obligatoire (25+),2017,253188
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,Total,Niveau secondaire (25+),2017,1176528
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,Total,Niveau tertiaire (25+),2017,1420221
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,Total,-25ans,2017,473069
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,15-29,Total,2017,814106
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,15-29,Sans formation post-obligatoire (25+),2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,15-29,Niveau secondaire (25+),2017,129200
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,15-29,Niveau tertiaire (25+),2017,191674
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,15-29,-25ans,2017,473069
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,30-59,Total,2017,2085158
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,30-59,Sans formation post-obligatoire (25+),2017,184248
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,30-59,Niveau secondaire (25+),2017,848872
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,30-59,Niveau tertiaire (25+),2017,1052039
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,30-59,-25ans,2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,60+,Total,2017,423743
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,60+,Sans formation post-obligatoire (25+),2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,60+,Niveau secondaire (25+),2017,198457
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,60+,Niveau tertiaire (25+),2017,176509
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Total,60+,-25ans,2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,Total,Total,2017,1694258
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,Total,Sans formation post-obligatoire (25+),2017,125361
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,Total,Niveau secondaire (25+),2017,542518
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,Total,Niveau tertiaire (25+),2017,797606
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,Total,-25ans,2017,228773
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,15-29,Total,2017,367271
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,15-29,Niveau secondaire (25+),2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,15-29,Niveau tertiaire (25+),2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,15-29,-25ans,2017,228773
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,30-59,Total,2017,1104530
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,30-59,Sans formation post-obligatoire (25+),2017,100657
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,30-59,Niveau secondaire (25+),2017,395538
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,30-59,Niveau tertiaire (25+),2017,608335
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,30-59,-25ans,2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,60+,Total,2017,222457
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,60+,Sans formation post-obligatoire (25+),2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,60+,Niveau secondaire (25+),2017,85649
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,60+,Niveau tertiaire (25+),2017,121308
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Homme,60+,-25ans,2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,Total,Total,2017,1628749
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,Total,Sans formation post-obligatoire (25+),2017,127827
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,Total,Niveau secondaire (25+),2017,634010
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,Total,Niveau tertiaire (25+),2017,622615
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,Total,-25ans,2017,244297
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,15-29,Total,2017,446835
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,15-29,Niveau secondaire (25+),2017,NA
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,15-29,Niveau tertiaire (25+),2017,123711
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,15-29,-25ans,2017,244297
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,30-59,Total,2017,980628
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,30-59,Sans formation post-obligatoire (25+),2017,83591
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,30-59,Niveau secondaire (25+),2017,453334
Achats de billets de transports ou reservations de transports (au cours des 12 derniers mois),Femme,30-59,Niveau tertiaire (25+),2017,443704
